Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
56,Lonsdale St - Elizabeth St (North),Lon364_T,25/7/2018,,Outdoor,A,East,West,-37.81234775,144.9615331,"-37.81234775, 144.96153311",63,44,32,27,15,11,12,23,43,70,105,138,166,210,231,215,218,226,214,211,199,173,129,97
57,Bourke St Bridge,BouBri_T,13/8/2018,,Outdoor,A,East,West,-37.8176735,144.9502559,"-37.8176735, 144.95025594",175,126,97,87,65,59,29,54,124,246,372,470,541,627,590,587,545,622,633,632,520,453,387,314
58,Bourke St - Spencer St (North),Bou688_T,27/9/2018,,Outdoor,A,East,West,-37.81686075,144.9535808,"-37.81686075, 144.95358075",55,25,14,14,9,10,31,43,86,129,214,230,320,491,320,667,1121,533,866,1388,330,425,914,352
59,Building 80 RMIT,RMIT_T,13/2/2019,,Outdoor,A,North,South,-37.80825648,144.9630486,"-37.80825648, 144.96304859",245,152,109,54,38,45,83,153,290,459,663,797,853,834,808,826,872,858,817,711,505,454,525,420
61,RMIT Building 14,RMIT14_T,28/6/2019,,Outdoor,A,North,South,-37.80767455,144.9630911,"-37.80767455, 144.96309114",184,108,73,58,26,21,31,63,131,251,378,492,634,834,972,899,861,858,766,675,497,433,379,298
62,La Trobe St (North),Lat224_T,25/9/2019,,Outdoor,A,East,West,-37.80996494,144.9621652,"-37.80996494, 144.96216521",112,71,51,41,22,22,36,59,142,231,351,443,508,557,597,562,556,560,516,480,386,343,264,198
63,231 Bourke St,Bou231_T,7/1/2020,,Outdoor,A,East,West,-37.81333081,144.9667557,"-37.81333081, 144.96675571",878,468,350,286,164,127,149,244,455,883,1380,1768,2268,2694,2725,2539,2456,2447,2548,2628,2247,2030,1631,1571
64,Royal Pde - Grattan St,Grat292_T,16/1/2020,,Outdoor,A,North,South,-37.79949545,144.9579228,"-37.79949545, 144.95792282",139,95,76,64,50,42,80,61,101,159,218,266,323,371,363,336,314,320,350,348,315,288,269,205
65,Swanston St - City Square,SwaCs_T,12/3/2020,,Outdoor,A,North,South,-37.81569416,144.9668064,"-37.81569416, 144.9668064",317,234,159,115,42,23,36,75,142,274,450,648,859,918,950,909,846,805,733,712,695,585,801,568
66,State Library - New,QVN_T,6/4/2020,,Outdoor,A,North,South,-37.81057846,144.9644429,"-37.81057846, 144.96444294",16,7,5,4,3,6,16,19,34,52,63,73,90,97,103,98,95,90,73,56,46,34,28,20
67,Flinders Ln -Degraves St (South),FLDegS_T,3/6/2020,,Outdoor,A,East,West,-37.81688755,144.9656257,"-37.81688755, 144.96562569",277,167,103,61,26,21,44,68,144,265,413,653,878,1201,1140,1031,1244,1199,1089,1130,995,914,897,621
68,Flinders Ln -Degraves St (North),FLDegN_T,3/6/2020,,Outdoor,A,East,West,-37.8168479,144.9655979,"-37.8168479, 144.96559789",396,240,117,74,37,30,39,71,173,414,805,1260,1780,2287,2542,2519,2460,2410,2111,2000,1754,1494,1161,787
69,Flinders Ln -Degraves St (Crossing),FLDegC_T,3/6/2020,,Outdoor,A,North,South,-37.81687226,144.9655914,"-37.81687226, 144.96559144",125,76,48,28,15,14,41,97,240,503,679,731,806,820,831,820,738,666,570,515,476,407,352,288
